Letter,Scan Steps
e,0
a,1
t,2
s,3
r,4
o,5
i,6
n,7
l,1
h,2
m,3
p,4
g,5
d,6
u,7
w,2
c,3
k,4
y,5
b,6
f,7
v,8
j,9
q,3
x,4
z,5
_,0
