Letter,Scan Steps
e,0
a,1
r,2
d,3
u,4
t,1
o,2
i,3
l,4
g,5
v,6
n,2
s,3
f,4
y,5
x,6
h,3
c,4
p,5
k,6
j,7
m,4
b,5
w,6
q,7
z,8
_,0
