Letter,Scan Steps
e,0
t,1
a,2
s,3
d,4
c,5
o,1
n,2
r,3
u,4
g,5
v,6
i,2
h,3
w,4
p,6
x,7
l,3
f,4
b,5
j,6
m,4
y,5
z,6
k,5
q,6
_,0
